entity:participant_id	analysis_ready_bam	analysis_ready_bam_index	analysis_ready_bam_md5	output_vcf	output_vcf_index	Phenotype	PN	POP	NO	SpecNo	Species	Site	SiteName	Lat	Long	Date	SL	Sex	EOD_FILE	Notes	set_of_unaligned_bams	stage1_gvcf	stage1_gvcf_index	unaligned_bam_list
BAVA_6629						BP	BAVA_6629	BAVA	6629	CU-6629	Paramormyrops kingsleyae	2009-013	Bavelela Creek	-2.242483333	11.556	8/1/09	44	Juvenile	PKING_X_6629.mat					
BAVA_6881						BP	BAVA_6881	BAVA	6881	CU-6881	Paramormyrops kingsleyae	2009-028	Bavelela Creek	-2.242483333	11.556	8/14/09	ND	ND	PKING_N_6881.mat					
BAVA_6882						BP	BAVA_6882	BAVA	6882	CU-6882	Paramormyrops kingsleyae	2009-028	Bavelela Creek	-2.242483333	11.556	8/14/09	41	Juvenile / Female	PKING_N_6882.mat					
BAVA_6883						BP	BAVA_6883	BAVA	6883	CU-6883	Paramormyrops kingsleyae	2009-028	Bavelela Creek	-2.242483333	11.556	8/14/09	71	Juvenile / Female	PKING_N_6883.mat					
BAVA_6884						BP	BAVA_6884	BAVA	6884	CU-6884	Paramormyrops kingsleyae	2009-028	Bavelela Creek	-2.242483333	11.556	8/14/09	68	Juvenile / Female	PKING_N_6884.mat					
BAVA_6885						BP	BAVA_6885	BAVA	6885	CU-6885	Paramormyrops kingsleyae	2009-028	Bavelela Creek	-2.242483333	11.556	8/14/09	49	Juvenile / Female	PKING_N_6885.mat					
BAVA_6887						BP	BAVA_6887	BAVA	6887	CU-6887	Paramormyrops kingsleyae	2009-028	Bavelela Creek	-2.242483333	11.556	8/14/09	47	Juvenile / Female	PKING_N_6887.mat					
BAVA_6888						BP	BAVA_6888	BAVA	6888	CU-6888	Paramormyrops kingsleyae	2009-028	Bavelela Creek	-2.242483333	11.556	8/14/09	68	Juvenile / Female	PKING_N_6888.mat					
BAVA_6889						BP	BAVA_6889	BAVA	6889	CU-6889	Paramormyrops kingsleyae	2009-028	Bavelela Creek	-2.242483333	11.556	8/14/09	55	Juvenile / Female	PKING_N_6889.mat					
BAVA_6890						BP	BAVA_6890	BAVA	6890	CU-6890	Paramormyrops kingsleyae	2009-028	Bavelela Creek	-2.242483333	11.556	8/14/09	54	Juvenile / Female	PKING_N_6890.mat					
BAVA_6891						BP	BAVA_6891	BAVA	6891	CU-6891	Paramormyrops kingsleyae	2009-028	Bavelela Creek	-2.242483333	11.556	8/14/09	68	Juvenile / Female	PKING_N_6891.mat					
BAVA_6892						BP	BAVA_6892	BAVA	6892	CU-6892	Paramormyrops kingsleyae	2009-028	Bavelela Creek	-2.242483333	11.556	8/14/09	78	Juvenile / Female	PKING_N_6892.mat					
BAVA_6893						BP	BAVA_6893	BAVA	6893	CU-6893	Paramormyrops kingsleyae	2009-028	Bavelela Creek	-2.242483333	11.556	8/14/09	36	Juvenile / Female	PKING_N_6893.mat					
BEN_699						TP	BEN_699	BEN	699	MSU-699	Paramormyrops kingsleyae	2023-014	Bengue Creek	-2.22569	11.457525	6/25/23	84	Male	PKING_699.mat					
